"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.097797421E0,8.662017822E0,1.368096352E0,4.436293125E0
2.115821773E0,8.547760963E0,1.365105271E0,4.417150497E0
2.133856319E0,8.671588898E0,1.368096352E0,4.398007870E0
2.151884334E0,8.713463783E0,1.338784218E0,4.388436794E0
2.169915340E0,8.661419868E0,1.310668588E0,4.426722050E0
2.187941768E0,8.660821915E0,1.306481123E0,4.345963955E0
2.205970943E0,8.642875671E0,1.383051515E0,4.307080746E0
2.223999629E0,8.699705124E0,1.401595831E0,4.297509670E0
2.242029903E0,8.727820396E0,1.367498159E0,4.331008911E0
2.260057857E0,8.742177963E0,1.357926846E0,4.335794449E0
2.278087337E0,8.713463783E0,1.353739381E0,4.316651821E0
2.296115535E0,8.661419868E0,1.349551916E0,4.326223373E0
2.314141597E0,8.638090134E0,1.363908887E0,4.350151539E0
2.332158138E0,8.714061737E0,1.387238979E0,4.307080746E0
2.350202083E0,8.681160927E0,1.435095429E0,4.321437836E0
2.368230525E0,8.581260681E0,1.408176184E0,4.278964996E0
2.386264461E0,8.857032776E0,1.408774376E0,4.330410957E0
2.404288570E0,8.590831757E0,1.393221021E0,4.307679176E0
2.422318416E0,8.675776482E0,1.363908887E0,4.226323128E0
2.440345943E0,8.746963501E0,1.362712502E0,4.221537113E0
2.458375972E0,8.728418350E0,1.401595831E0,4.216153622E0
2.476403255E0,8.751749039E0,1.415354609E0,4.206582069E0
2.494432491E0,8.785248756E0,1.414756417E0,4.177868366E0
2.512461665E0,8.751749039E0,1.401595831E0,4.168296814E0
2.530491389E0,8.680562019E0,1.392622828E0,4.225724697E0
2.548518612E0,8.714061737E0,1.392024517E0,4.244867325E0
2.566540157E0,8.785248756E0,1.400399446E0,4.220939159E0
2.584561885E0,8.770891190E0,1.410568953E0,4.177868366E0
2.602601924E0,8.694919586E0,1.426122308E0,4.144368649E0
2.620615780E0,8.699705124E0,1.421336651E0,4.130609989E0
2.638667233E0,8.737391472E0,1.396810174E0,4.144967079E0
2.656692745E0,8.742177963E0,1.392024517E0,4.168296814E0
2.674727718E0,8.746963501E0,1.396810174E0,4.177868366E0
2.692750545E0,8.737990379E0,1.420738459E0,4.182653904E0
2.710779781E0,8.723632812E0,1.415952802E0,4.173082829E0
2.728807979E0,8.737391472E0,1.396810174E0,4.168895245E0
